problem_id,feasible,cost,optimality_gap
1,1,504,-26.31578947368421
2,1,367,-25.557809330628807
3,1,322,-17.010309278350515
4,1,450,-48.97959183673469
5,1,242,-64.51612903225806
6,1,1313,
7,1,592,-27.003699136868065
8,1,1748,
9,1,464,-19.444444444444446
10,1,342,
11,1,1650,
12,1,354,-66.85393258426966
13,1,1333,-24.816694867456288
14,1,691,-31.312127236580515
15,1,1723,
16,1,364,
17,1,480,-29.515418502202646
18,1,635,-9.929078014184398
19,1,513,-69.84126984126983
20,1,330,-11.29032258064516
21,1,1289,
22,1,798,-16.0
23,1,770,-70.1086956521739
24,1,1083,
25,1,1459,
26,1,2224,-12.578616352201259
27,1,148,-43.72623574144487
28,1,517,-63.20284697508897
29,1,633,-68.86374815543532
30,1,909,186.75078864353313
31,1,748,
32,1,676,-44.40789473684211
33,1,427,-36.45833333333333
34,1,1548,
35,1,427,
36,1,723,-45.3514739229025
37,1,291,-30.878859857482183
38,1,473,
39,1,628,-33.47457627118644
40,1,481,-60.44407894736842
41,1,457,-58.264840182648406
42,1,807,-23.507109004739338
43,1,472,
44,0,,
45,1,233,-10.384615384615385
46,1,620,-38.976377952755904
47,1,1116,
48,1,1061,-58.57087075361187
49,1,398,-70.69219440353461
50,1,499,-21.169036334913113
51,1,732,-49.586776859504134
52,1,403,0.0
53,1,549,-17.691154422788603
54,1,238,-23.961661341853034
55,1,473,
56,1,351,-49.928673323823105
57,1,1027,
58,1,477,-4.6
59,1,708,-40.4040404040404
60,1,409,-45.539280958721704
61,1,355,-16.861826697892273
62,1,771,-14.806629834254142
63,1,874,
64,1,743,-37.7200335289187
65,1,464,-18.88111888111888
66,1,542,-59.79228486646885
67,1,840,
68,1,1090,-52.89541918755402
69,1,450,-22.145328719723185
70,1,430,-68.72727272727272
71,1,488,
72,1,267,-22.608695652173914
73,1,792,-60.63618290258449
74,1,1016,
75,1,836,
76,1,782,-18.711018711018713
77,1,910,-20.035149384885763
78,1,367,-68.71270247229326
79,1,984,-56.03217158176944
80,1,946,
81,1,784,
82,1,1708,
83,1,338,
84,1,583,
85,1,670,
86,1,1036,14.096916299559473
87,1,377,-27.63915547024952
88,1,727,
89,1,602,-34.13566739606127
90,1,1582,
91,1,889,-53.91394504924831
92,1,979,-48.87728459530026
93,1,570,-24.90118577075099
94,1,453,-48.8135593220339
95,0,,
96,1,768,-30.05464480874317
97,1,611,-34.371643394199786
98,1,674,-37.00934579439252
99,1,420,-34.883720930232556
100,1,293,-10.94224924012158
101,1,695,
102,1,1163,-31.94850789935635
103,1,768,
104,1,676,-70.2726473175022
105,0,,
106,1,314,-19.48717948717949
107,1,713,-55.24168236032643
108,1,572,-20.77562326869806
109,1,312,-77.71428571428571
110,1,734,-42.022116903633496
111,1,623,-41.93849021435228
112,1,711,-42.148087876322215
113,1,1402,-40.085470085470085
114,1,312,-75.5868544600939
115,1,344,-28.92561983471074
116,1,437,-31.39717425431711
117,1,902,-27.375201288244767
118,1,883,
119,1,735,-46.89306358381503
120,1,742,
