model,format_a,format_b,discord_ab,discord_ba,chi2,p_value
deepseek,F1,F2,21,22,0.0,1.0
deepseek,F1,F3,23,25,0.021,0.8852
deepseek,F1,F4,28,26,0.019,0.8918
deepseek,F1,F5,24,26,0.02,0.8875
deepseek,F2,F3,23,24,0.0,1.0
deepseek,F2,F4,27,24,0.078,0.7794
deepseek,F2,F5,24,25,0.0,1.0
deepseek,F3,F4,24,20,0.205,0.6511
deepseek,F3,F5,27,27,0.019,0.8918
deepseek,F4,F5,23,27,0.18,0.6714
gpt,F1,F2,22,42,5.641,0.0175
gpt,F1,F3,18,34,4.327,0.0375
gpt,F1,F4,28,32,0.15,0.6985
gpt,F1,F5,26,25,0.0,1.0
gpt,F2,F3,25,21,0.196,0.6583
gpt,F2,F4,32,16,4.688,0.0304
gpt,F2,F5,35,14,8.163,0.0043
gpt,F3,F4,38,26,1.891,0.1691
gpt,F3,F5,33,16,5.224,0.0223
gpt,F4,F5,31,26,0.281,0.5962
